"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",74,32,1,0,"Imported cases only",0,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",146,23,5,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",264,33,17,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",188,24,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Antigua and Barbuda",3,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",301,35,4,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",265,30,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",12,3,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",2252,543,8,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",5282,796,30,5,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",87,15,1,0,"Local transmission",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",392,15,3,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",39,6,4,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",18,1,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",81,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",4269,526,122,34,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Belize",1,0,0,0,"Imported cases only",1,"Level 2: Exercise Increased Caution","January 4, 2019","Not yet restricted"
"Benin",5,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",6,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",2,0,0,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",28,1,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Bosnia and Herzegovina",164,33,2,1,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",2201,655,46,21,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"Bulgaria",220,19,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",114,15,3,0,"Local transmission",0,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cabo Verde",3,0,0,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",91,4,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",72,0,1,1,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",1739,307,25,5,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",5,0,1,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Central African Republic",4,0,0,0,"Imported cases only",2,"Level 4: Do Not Travel","April 9, 2019","Not yet restricted"
"Chad",3,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",922,176,2,1,"Local transmission",0,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",81848,101,3287,4,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
