"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",166,52,4,0,"Local transmission",0,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",223,0,11,1,"Local transmission",1,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",511,57,31,2,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",370,29,8,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Angola",2,0,0,0,"Imported cases only",9,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Anguilla",2,0,0,0,"Local transmission",4,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Antigua and Barbuda",7,0,0,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",820,75,20,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",482,0,3,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",50,4,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",4359,393,18,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",9618,805,108,22,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",273,83,4,0,"Local transmission",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",515,0,4,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",49,0,5,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",33,7,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",152,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",11899,1063,513,82,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Belize",3,1,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 4, 2019","Not yet restricted"
"Benin",6,0,0,0,"Imported cases only",4,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",22,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",4,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",97,23,5,5,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Bosnia and Herzegovina",359,34,9,3,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",4256,352,136,22,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"British Virgin Islands",2,0,0,0,"Imported cases only",4,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Bulgaria",359,13,8,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",246,24,12,9,"Local transmission",0,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cabo Verde",5,0,1,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",107,4,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",139,26,6,4,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",6317,662,66,5,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",12,4,1,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chad",5,0,0,0,"Imported cases only",4,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",2449,540,8,2,"Local transmission",0,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",82545,98,3314,4,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",702,94,10,4,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",314,19,2,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
"Croatia",790,77,6,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cuba",170,51,4,1,"Local transmission",0,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Cyprus",230,16,7,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 21, 2019","Not yet restricted"
"Democratic Republic of the Congo",98,17,8,0,"Local transmission",0,"Level 3: Reconsider Travel","January 2, 2020","Not yet restricted"
"Denmark",2577,182,77,5,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Restricted"
"Djibouti",26,7,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 18, 2019","Not yet restricted"
"Dominica",11,0,0,0,"Local transmission",4,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Dominican Republic",901,320,42,22,"Local transmission",0,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Ecuador",1962,127,60,12,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Egypt",656,47,41,1,"Local transmission",0,"Level 2: Exercise Increased Caution","March 6, 2020","Restricted"
"El Salvador",30,6,0,0,"Local transmission",0,"Level 3: Reconsider Travel","January 29, 2019","Not yet restricted"
"Equatorial Guinea",14,1,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 11, 2019","Not yet restricted"
"Eritrea",6,0,0,0,"Imported cases only",4,"Level 2: Exercise Increased Caution","February 25, 2019","Not yet restricted"
"Estonia",715,36,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 2, 2019","Not yet restricted"
"Eswatini",9,0,0,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Ethiopia",23,2,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","August 20, 2019","Not yet restricted"
"Fiji",5,0,0,0,"Local transmission",5,"Level 1: Exercise Normal Precautions","December 16, 2019","Not yet restricted"
"Finland",1313,95,13,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","September 27, 2019","Not yet restricted"
"France",43977,4335,3017,415,"Local transmission",0,"Level 2: Exercise Increased Caution","April 1, 2019","Not yet restricted"
"French Guiana",43,12,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 19, 2019","Not yet restricted"
"French Polynesia",36,1,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 25, 2019","Not yet restricted"
"Gabon",7,0,1,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 10, 2019","Not yet restricted"
"Georgia",103,5,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Germany",61913,4615,583,128,"Local transmission",0,"Level 2: Exercise Increased Caution","June 19, 2019","Restricted"
"Ghana",152,0,5,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Greece",1212,56,43,5,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 5, 2019","Restricted"
"Grenada",9,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","February 25, 2019","Not yet restricted"
"Guatemala",36,2,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","February 28, 2019","Not yet restricted"
"Guinea",16,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","February 13, 2020","Not yet restricted"
"Guinea-Bissau",2,0,0,0,"Imported cases only",5,"Level 3: Reconsider Travel","October 3, 2019","Not yet restricted"
