"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",22,1,0,0,"Imported cases only",0,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",55,4,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",60,11,4,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",16,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Antigua and Barbuda",1,0,0,0,"Imported cases only",4,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",65,9,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",52,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",2,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",414,78,5,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",1332,373,3,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",21,0,0,0,"Imported cases only",2,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",237,16,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",8,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Belarus",36,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",1486,401,14,9,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Benin",1,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bhutan",1,0,0,0,"Imported cases only",11,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",11,0,0,0,"Imported cases only",1,"Level 2: Exercise Increased Caution","January 6, 2020","Restricted"
"Bosnia and Herzegovina",19,0,0,0,"Local transmission",2,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",234,34,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"Bulgaria",81,14,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",20,5,0,0,"Imported cases only",0,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
