"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",114,0,4,0,"Local transmission",1,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",223,11,10,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",454,45,29,3,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",341,20,6,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Angola",2,0,0,0,"Imported cases only",8,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Anguilla",2,0,0,0,"Local transmission",3,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Antigua and Barbuda",7,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",745,55,19,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",482,58,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",46,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",3966,0,16,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",8813,522,86,18,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",190,26,4,0,"Local transmission",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",515,39,4,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",49,1,5,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",26,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",152,58,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",10836,1702,431,78,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Belize",2,0,0,0,"Local transmission",4,"Level 2: Exercise Increased Caution","January 4, 2019","Not yet restricted"
"Benin",6,0,0,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",22,5,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",4,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",74,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Bosnia and Herzegovina",325,56,6,0,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",3904,487,114,22,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"British Virgin Islands",2,0,0,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Bulgaria",346,15,8,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",222,76,3,0,"Local transmission",0,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cabo Verde",5,0,1,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",103,1,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",113,22,2,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",5655,898,61,6,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",8,0,1,0,"Imported cases only",4,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chad",5,0,0,0,"Imported cases only",3,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",1909,0,6,0,"Local transmission",1,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",82447,106,3310,4,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",608,69,6,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",295,32,2,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
"Croatia",713,56,6,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cuba",119,0,3,0,"Local transmission",1,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Cyprus",214,35,6,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 21, 2019","Not yet restricted"
"Democratic Republic of the Congo",81,13,8,2,"Local transmission",0,"Level 3: Reconsider Travel","January 2, 2020","Not yet restricted"
"Denmark",2395,194,72,7,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Restricted"
"Djibouti",19,4,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 18, 2019","Not yet restricted"
"Dominica",11,0,0,0,"Local transmission",3,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Dominican Republic",581,0,20,0,"Local transmission",2,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Ecuador",1835,12,48,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Egypt",609,33,40,4,"Local transmission",0,"Level 2: Exercise Increased Caution","March 6, 2020","Restricted"
"El Salvador",24,5,0,0,"Local transmission",0,"Level 3: Reconsider Travel","January 29, 2019","Not yet restricted"
"Equatorial Guinea",13,7,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 11, 2019","Not yet restricted"
"Eritrea",6,0,0,0,"Imported cases only",3,"Level 2: Exercise Increased Caution","February 25, 2019","Not yet restricted"
"Estonia",679,39,3,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 2, 2019","Not yet restricted"
"Eswatini",9,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Ethiopia",21,5,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","August 20, 2019","Not yet restricted"
"Fiji",5,0,0,0,"Local transmission",4,"Level 1: Exercise Normal Precautions","December 16, 2019","Not yet restricted"
"Finland",1218,0,11,2,"Local transmission",1,"Level 1: Exercise Normal Precautions","September 27, 2019","Not yet restricted"
"France",39642,2497,2602,291,"Local transmission",0,"Level 2: Exercise Increased Caution","April 1, 2019","Not yet restricted"
"French Guiana",31,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 19, 2019","Not yet restricted"
"French Polynesia",35,1,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 25, 2019","Not yet restricted"
"Gabon",7,0,1,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 10, 2019","Not yet restricted"
"Georgia",98,8,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Germany",57298,4751,455,66,"Local transmission",0,"Level 2: Exercise Increased Caution","June 19, 2019","Restricted"
"Ghana",152,15,5,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Greece",1156,95,38,6,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 5, 2019","Restricted"
"Grenada",7,0,0,0,"Local transmission",3,"Level 1: Exercise Normal Precautions","February 25, 2019","Not yet restricted"
"Guatemala",34,2,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","February 28, 2019","Not yet restricted"
"Guinea",16,8,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","February 13, 2020","Not yet restricted"
