"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",22,0,0,0,"Imported cases only",1,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",59,2,2,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",72,12,6,2,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",39,23,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Antigua and Barbuda",1,0,0,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",79,14,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",84,32,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",4,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",510,96,6,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",1646,314,4,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",34,13,1,1,"Imported cases only",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",256,5,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",10,2,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",2,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",46,10,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",1486,0,14,0,"Local transmission",1,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Benin",1,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bhutan",1,0,0,0,"Imported cases only",12,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",12,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","January 6, 2020","Restricted"
"Bosnia and Herzegovina",36,7,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
