"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",22,0,0,0,"Imported cases only",2,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",70,11,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",82,10,7,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",75,36,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Antigua and Barbuda",1,0,0,0,"Imported cases only",6,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",97,0,2,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",122,38,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",5,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",709,199,6,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",1843,197,5,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",34,0,1,0,"Imported cases only",1,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",269,13,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",17,7,1,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",2,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",46,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",1795,309,14,0,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Benin",2,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
