"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",80,0,2,0,"Local transmission",1,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",186,12,8,3,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",305,41,21,4,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",231,18,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Angola",2,0,0,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Anguilla",2,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Antigua and Barbuda",3,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",502,115,8,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",329,39,1,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",19,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",2985,186,13,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",7029,1141,52,18,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",122,29,3,1,"Local transmission",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",458,39,4,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",48,9,5,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",18,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",86,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",6235,1298,220,42,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Belize",2,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","January 4, 2019","Not yet restricted"
"Benin",6,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",7,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",3,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",39,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Bosnia and Herzegovina",213,40,3,0,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",2433,0,57,0,"Local transmission",1,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"British Virgin Islands",2,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Bulgaria",264,22,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",146,0,3,0,"Local transmission",1,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cabo Verde",3,0,0,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",98,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",75,5,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",3555,146,35,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",8,0,1,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Central African Republic",5,0,0,0,"Imported cases only",1,"Level 4: Do Not Travel","April 9, 2019","Not yet restricted"
"Chad",5,2,0,0,"Imported cases only",0,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",1306,164,4,1,"Local transmission",0,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",82078,117,3298,5,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",470,0,4,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",201,0,2,0,"Local transmission",1,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
"Croatia",495,77,2,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cuba",67,10,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Cyprus",146,14,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 21, 2019","Not yet restricted"
"Democratic Republic of the Congo",54,3,4,1,"Local transmission",0,"Level 3: Reconsider Travel","January 2, 2020","Not yet restricted"
"Denmark",1877,153,41,7,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Restricted"
"Djibouti",12,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","November 18, 2019","Not yet restricted"
"Dominica",11,4,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Dominican Republic",488,96,10,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Ecuador",1211,0,29,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Egypt",495,39,24,3,"Local transmission",0,"Level 2: Exercise Increased Caution","March 6, 2020","Restricted"
"El Salvador",13,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","January 29, 2019","Not yet restricted"
"Equatorial Guinea",6,0,0,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","December 11, 2019","Not yet restricted"
"Eritrea",6,2,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","February 25, 2019","Not yet restricted"
"Estonia",538,134,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 2, 2019","Not yet restricted"
"Eswatini",6,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Ethiopia",12,0,0,0,"Imported cases only",2,"Level 2: Exercise Increased Caution","August 20, 2019","Not yet restricted"
"Fiji",5,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","December 16, 2019","Not yet restricted"
"Finland",958,78,4,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","September 27, 2019","Not yet restricted"
"France",28786,3866,1695,364,"Local transmission",0,"Level 2: Exercise Increased Caution","April 1, 2019","Not yet restricted"
"French Guiana",28,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","November 19, 2019","Not yet restricted"
"French Polynesia",30,5,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 25, 2019","Not yet restricted"
"Gabon",6,0,1,0,"Imported cases only",4,"Level 1: Exercise Normal Precautions","January 10, 2019","Not yet restricted"
"Georgia",81,4,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Germany",42288,5780,253,55,"Local transmission",0,"Level 2: Exercise Increased Caution","June 19, 2019","Restricted"
"Ghana",132,64,3,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Greece",892,71,26,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 5, 2019","Restricted"
"Grenada",7,6,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","February 25, 2019","Not yet restricted"
"Guatemala",24,0,1,0,"Local transmission",1,"Level 2: Exercise Increased Caution","February 28, 2019","Not yet restricted"
"Guinea",5,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","February 13, 2020","Not yet restricted"
"Guinea-Bissau",2,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","October 3, 2019","Not yet restricted"
"Guyana",5,0,1,0,"Local transmission",8,"Level 2: Exercise Increased Caution","May 30, 2019","Not yet restricted"
"Haiti",8,0,0,0,"Imported cases only",1,"Level 4: Do Not Travel","March 5, 2020","Restricted"
"Honduras",52,0,1,1,"Local transmission",1,"Level 3: Reconsider Travel","June 24, 2019","Not yet restricted"
"Hungary",300,39,10,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 22, 2019","Restricted"
"Iceland",802,65,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","June 20, 2019","Not yet restricted"
"India",724,75,17,4,"Local transmission",0,"Level 2: Exercise Increased Caution","March 8, 2019","Restricted"
"Indonesia",893,103,78,20,"Local transmission",0,"Level 4: Do Not Travel","March 26, 2020","Restricted"
"Iran",29406,2389,2234,157,"Local transmission",0,"Level 4: Do Not Travel","February 26, 2020","Not yet restricted"
"Iraq",382,36,36,7,"Local transmission",0,"Level 4: Do Not Travel","March 26, 2020","Not yet restricted"
"Ireland",1819,255,19,10,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 4, 2019","Not yet restricted"
