"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",114,8,4,2,"Local transmission",0,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",212,15,10,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",409,42,26,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",321,32,4,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Angola",2,0,0,0,"Imported cases only",7,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Anguilla",2,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Antigua and Barbuda",7,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",690,101,17,5,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",424,52,3,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",46,18,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",3966,331,16,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",8291,594,68,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",164,17,4,1,"Local transmission",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",476,3,4,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",48,0,5,0,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",24,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",94,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",9134,1850,353,64,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Belize",2,0,0,0,"Local transmission",3,"Level 2: Exercise Increased Caution","January 4, 2019","Not yet restricted"
"Benin",6,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",17,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",3,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",74,13,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Bosnia and Herzegovina",269,36,6,2,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",3417,502,92,15,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"British Virgin Islands",2,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Bulgaria",331,38,7,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",146,0,3,0,"Local transmission",3,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cabo Verde",5,0,1,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",102,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",91,16,2,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",4757,739,55,16,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",8,0,1,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chad",5,0,0,0,"Imported cases only",2,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",1909,299,6,1,"Local transmission",0,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",82341,128,3306,5,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",539,48,6,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",263,32,2,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
