"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",42,2,1,0,"Imported cases only",0,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",123,34,4,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",231,30,17,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",164,51,1,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Angola",2,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Antigua and Barbuda",1,0,0,0,"Imported cases only",10,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",266,41,4,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",235,45,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",9,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",1709,313,7,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",4486,855,25,9,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",72,7,1,0,"Local transmission",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",377,40,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",33,6,3,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",17,12,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",81,5,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",3743,342,88,13,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Belize",1,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","January 4, 2019","Not yet restricted"
"Benin",5,3,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",6,4,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",2,0,0,0,"Imported cases only",4,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",27,3,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Bosnia and Herzegovina",131,6,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",1546,642,25,14,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"Bulgaria",201,16,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",99,24,3,0,"Local transmission",0,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cabo Verde",3,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",87,3,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",72,32,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",1432,48,20,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",5,2,1,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Central African Republic",4,0,0,0,"Imported cases only",1,"Level 4: Do Not Travel","April 9, 2019","Not yet restricted"
"Chad",3,2,0,0,"Imported cases only",0,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",746,114,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",81747,146,3283,7,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",277,81,3,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",158,41,2,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
"Croatia",306,71,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cuba",40,24,1,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Cyprus",116,21,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 21, 2019","Not yet restricted"
"Democratic Republic of the Congo",36,6,2,0,"Local transmission",0,"Level 3: Reconsider Travel","January 2, 2020","Not yet restricted"
"Denmark",1460,65,24,11,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Restricted"
"Djibouti",3,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","November 18, 2019","Not yet restricted"
"Dominica",1,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Dominican Republic",245,173,3,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Ecuador",790,258,15,8,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Egypt",366,39,19,5,"Local transmission",0,"Level 2: Exercise Increased Caution","March 6, 2020","Restricted"
"El Salvador",3,2,0,0,"Imported cases only",0,"Level 3: Reconsider Travel","January 29, 2019","Not yet restricted"
"Equatorial Guinea",6,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 11, 2019","Not yet restricted"
"Estonia",352,26,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 2, 2019","Not yet restricted"
"Eswatini",4,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Ethiopia",11,0,0,0,"Imported cases only",1,"Level 2: Exercise Increased Caution","August 20, 2019","Not yet restricted"
"Fiji",3,1,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 16, 2019","Not yet restricted"
"Finland",700,74,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","September 27, 2019","Not yet restricted"
"France",19615,3794,860,186,"Local transmission",0,"Level 2: Exercise Increased Caution","April 1, 2019","Not yet restricted"
"French Guiana",20,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 19, 2019","Not yet restricted"
"French Polynesia",18,1,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 25, 2019","Not yet restricted"
"Gabon",6,0,1,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","January 10, 2019","Not yet restricted"
"Georgia",67,13,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Germany",29212,4438,126,32,"Local transmission",0,"Level 2: Exercise Increased Caution","June 19, 2019","Restricted"
"Ghana",27,3,2,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Greece",695,71,17,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 5, 2019","Restricted"
"Grenada",1,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","February 25, 2019","Not yet restricted"
"Guatemala",20,2,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","February 28, 2019","Not yet restricted"
"Guinea",4,2,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","February 13, 2020","Not yet restricted"
"Guyana",5,0,1,0,"Local transmission",5,"Level 2: Exercise Increased Caution","May 30, 2019","Not yet restricted"
"Haiti",6,4,0,0,"Imported cases only",0,"Level 4: Do Not Travel","March 5, 2020","Restricted"
"Honduras",30,4,0,0,"Local transmission",0,"Level 3: Reconsider Travel","June 24, 2019","Not yet restricted"
"Hungary",187,20,8,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 22, 2019","Restricted"
"Iceland",588,20,2,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","June 20, 2019","Not yet restricted"
"India",434,19,9,2,"Local transmission",0,"Level 2: Exercise Increased Caution","March 8, 2019","Restricted"
"Indonesia",579,65,49,1,"Local transmission",0,"Level 2: Exercise Increased Caution","December 27, 2019","Restricted"
"Iran",23049,1411,1812,127,"Local transmission",0,"Level 4: Do Not Travel","February 26, 2020","Not yet restricted"
"Iraq",266,33,23,3,"Local transmission",0,"Level 4: Do Not Travel","January 11, 2020","Not yet restricted"
"Ireland",1125,219,6,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 4, 2019","Not yet restricted"
"Italy",63927,4789,6077,601,"Local transmission",0,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Jamaica",19,0,1,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Japan",1128,39,42,1,"Local transmission",0,"Level 2: Exercise Increased Caution","February 22, 2020","Restricted"
"Jordan",127,15,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","December 12, 2018","Restricted"
"Kazakhstan",63,3,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","April 3, 2019","Not yet restricted"
"Kenya",16,1,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Kuwait",191,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Latvia",180,41,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 25, 2019","Not yet restricted"
"Lebanon",267,19,4,0,"Local transmission",0,"Level 3: Reconsider Travel","October 21, 2019","Not yet restricted"
"Liberia",3,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 7, 2019","Not yet restricted"
"Liechtenstein",46,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Lithuania",179,36,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","June 4, 2019","Not yet restricted"
"Luxembourg",875,77,8,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 29, 2020","Not yet restricted"
"Madagascar",13,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","July 17, 2019","Not yet restricted"
"Malaysia",1518,212,14,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Restricted"
"Maldives",13,0,0,0,"Local transmission",8,"Level 2: Exercise Increased Caution","May 2, 2019","Not yet restricted"
"Malta",107,17,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 1, 2019","Not yet restricted"
"Mauritania",2,0,0,0,"Imported cases only",5,"Level 2: Exercise Increased Caution","December 26, 2019","Not yet restricted"
"Mauritius",36,24,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","December 18, 2019","Not yet restricted"
"Mexico",370,119,4,2,"Local transmission",0,"Level 2: Exercise Increased Caution","December 17, 2019","Restricted"
"Moldova",109,15,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Mongolia",10,0,0,0,"Imported cases only",2,"Level 4: Do Not Travel","March 18, 2020","Not yet restricted"
"Montenegro",22,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Montserrat",1,0,0,0,"Imported cases only",6,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Morocco",143,28,4,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 2, 2019","Restricted"
"Namibia",3,0,0,0,"Imported cases only",4,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Nepal",2,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","January 2, 2020","Not yet restricted"
"Netherlands",4749,545,213,34,"Local transmission",0,"Level 2: Exercise Increased Caution","July 19, 2019","Not yet restricted"
"New Caledonia",8,3,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","April 1, 2019","Not yet restricted"
"New Zealand",102,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","November 21, 2019","Restricted"
"Nicaragua",2,0,0,0,"Imported cases only",2,"Level 3: Reconsider Travel","April 3, 2019","Not yet restricted"
"Nigeria",22,0,0,0,"Imported cases only",2,"Level 3: Reconsider Travel","October 29, 2019","Restricted"
"North Macedonia",136,22,2,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 23, 2019","Not yet restricted"
"Norway",2371,239,8,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","September 13, 2019","Restricted"
"Oman",84,29,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Pakistan",887,103,6,1,"Local transmission",0,"Level 3: Reconsider Travel","January 31, 2020","Not yet restricted"
"Panama",345,100,6,3,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 3, 2019","Not yet restricted"
"Papua New Guinea",1,0,0,0,"Imported cases only",3,"Level 2: Exercise Increased Caution","October 9, 2019","Not yet restricted"
"Paraguay",22,0,1,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 22, 2019","Not yet restricted"
"Peru",395,77,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Philippines",462,82,33,8,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Poland",749,115,8,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Not yet restricted"
"Portugal",2060,460,23,9,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 28, 2019","Not yet restricted"
"Qatar",501,7,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Romania",576,143,7,5,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 5, 2019","Not yet restricted"
"Russia",438,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","February 10, 2020","Restricted"
"Rwanda",36,19,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 11, 2019","Restricted"
"Saint Lucia",3,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","April 15, 2019","Not yet restricted"
"Saudi Arabia",562,51,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","September 17, 2019","Restricted"
"Senegal",79,12,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 25, 2019","Not yet restricted"
"Serbia",249,61,2,2,"Local transmission",0,"Level 2: Exercise Increased Caution","January 16, 2020","Not yet restricted"
"Seychelles",7,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 18, 2019","Not yet restricted"
"Singapore",507,52,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 20, 2018","Restricted"
"Sint Maarten",2,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Slovakia",191,6,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 26, 2019","Not yet restricted"
"Slovenia",442,28,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Somalia",1,0,0,0,"Imported cases only",7,"Level 4: Do Not Travel","October 28, 2019","Not yet restricted"
"South Africa",402,128,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","October 18, 2018","Restricted"
"South Korea",9037,76,120,9,"Local transmission",0,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Spain",33089,4517,2182,462,"Local transmission",0,"Level 2: Exercise Increased Caution","October 21, 2019","Restricted"
"Sri Lanka",97,15,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","June 24, 2019","Restricted"
"Sudan",2,0,1,0,"Imported cases only",2,"Level 3: Reconsider Travel","September 26, 2019","Not yet restricted"
"Suriname",2,0,0,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","October 18, 2019","Not yet restricted"
"Sweden",2016,110,25,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 29, 2019","Not yet restricted"
"Switzerland",8015,1044,66,6,"Local transmission",0,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Thailand",827,106,4,3,"Local transmission",0,"Level 1: Exercise Normal Precautions","February 7, 2020","Restricted"
"Timor-Leste",1,0,0,0,"Imported cases only",3,"Level 2: Exercise Increased Caution","January 15, 2020","Not yet restricted"
"Togo",18,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","May 22, 2019","Not yet restricted"
"Trinidad and Tobago",51,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Tunisia",89,14,3,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 2, 2019","Not yet restricted"
"Turkey",1529,293,37,7,"Local transmission",0,"Level 2: Exercise Increased Caution","September 5, 2019","Restricted"
"Turks and Caicos Islands",1,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","February 25, 2019","Not yet restricted"
"Uganda",9,8,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Ukraine",84,37,3,0,"Local transmission",0,"Level 2: Exercise Increased Caution","February 19, 2020","Restricted"
"United Arab Emirates",198,45,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Restricted"
"United Kingdom",6654,967,335,54,"Local transmission",0,"Level 2: Exercise Increased Caution","April 22, 2019","Restricted"
"United States of America",42164,10591,471,69,"Local transmission",0,"Do not travel","18 Mar 2020","Restricted"
"Uruguay",162,27,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","August 2, 2019","Not yet restricted"
"Uzbekistan",46,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","December 13, 2018","Not yet restricted"
"Venezuela",70,0,0,0,"Local transmission",1,"Level 4: Do Not Travel","December 2, 2019","Not yet restricted"
"Zambia",3,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
