"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",192,26,4,0,"Local transmission",0,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",243,20,13,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",584,73,35,4,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",376,6,12,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Angola",7,5,2,2,"Imported cases only",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Anguilla",2,0,0,0,"Local transmission",5,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Antigua and Barbuda",7,0,0,0,"Imported cases only",4,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",966,146,24,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",532,50,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",55,5,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",4707,348,20,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",10182,564,128,20,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",298,25,5,1,"Local transmission",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",567,52,4,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",54,5,6,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",33,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",152,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",12775,876,705,192,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Belize",3,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","January 4, 2019","Not yet restricted"
"Benin",9,3,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",27,5,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",4,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",107,10,6,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Bosnia and Herzegovina",413,54,12,3,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Botswana",3,3,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Brazil",4579,323,159,23,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"British Virgin Islands",3,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Bulgaria",399,40,8,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",261,15,14,2,"Local transmission",0,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Burundi",2,2,0,0,"Imported cases only",0,"Level 3: Reconsider Travel","January 21, 2020","Not yet restricted"
"Cabo Verde",5,0,1,0,"Imported cases only",4,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
