"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",24,0,0,0,"Imported cases only",1,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",76,6,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",94,0,15,5,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",88,13,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Angola",2,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Antigua and Barbuda",1,0,0,0,"Imported cases only",8,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",158,30,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",160,24,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",5,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",1081,208,7,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",3024,375,8,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",53,9,1,0,"Imported cases only",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",306,21,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",24,7,2,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",5,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",76,19,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",2815,558,67,30,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Benin",2,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",2,0,0,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",2,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",19,3,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 6, 2020","Restricted"
"Bosnia and Herzegovina",92,48,1,1,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",904,283,11,7,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"Bulgaria",163,36,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",72,32,3,2,"Local transmission",0,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cabo Verde",3,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",53,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",27,5,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",1048,202,13,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",3,0,1,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chad",1,0,0,0,"Imported cases only",2,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",434,0,1,1,"Local transmission",1,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",81498,82,3267,6,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",196,51,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",113,0,2,0,"Local transmission",1,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
"Croatia",206,80,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cuba",16,0,1,0,"Imported cases only",1,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Cyprus",84,17,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 21, 2019","Not yet restricted"
"Denmark",1326,71,13,4,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Restricted"
"Djibouti",1,0,0,0,"Under investigation",3,"Level 1: Exercise Normal Precautions","November 18, 2019","Not yet restricted"
"Dominican Republic",72,0,2,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Ecuador",506,139,7,2,"Local transmission",0,"Level 2: Exercise Increased Caution","November 7, 2019","Not yet restricted"
"Egypt",285,29,8,1,"Local transmission",0,"Level 2: Exercise Increased Caution","March 6, 2020","Restricted"
"El Salvador",1,0,0,0,"Imported cases only",2,"Level 2: Exercise Increased Caution","October 1, 2019","Not yet restricted"
"Equatorial Guinea",6,2,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","December 11, 2019","Not yet restricted"
"Eritrea",1,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","February 25, 2019","Not yet restricted"
"Estonia",306,23,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 2, 2019","Not yet restricted"
"Eswatini",1,0,0,0,"Imported cases only",7,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Ethiopia",9,0,0,0,"Imported cases only",2,"Level 2: Exercise Increased Caution","August 20, 2019","Not yet restricted"
"Fiji",2,1,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 16, 2019","Not yet restricted"
"Finland",521,71,1,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","September 27, 2019","Not yet restricted"
"France",14296,1821,562,112,"Local transmission",0,"Level 2: Exercise Increased Caution","April 1, 2019","Not yet restricted"
"French Guiana",15,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 19, 2019","Not yet restricted"
"French Polynesia",15,4,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","March 25, 2019","Not yet restricted"
"Gabon",3,0,1,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 10, 2019","Not yet restricted"
"Georgia",49,6,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Germany",21463,3140,67,22,"Local transmission",0,"Level 2: Exercise Increased Caution","June 19, 2019","Restricted"
