"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",106,26,2,0,"Local transmission",0,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",197,11,9,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",367,62,25,4,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",289,58,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Angola",2,0,0,0,"Imported cases only",6,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Anguilla",2,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Antigua and Barbuda",7,4,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",589,87,12,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",372,43,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",28,9,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",3635,650,14,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",7697,668,68,16,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",147,25,3,0,"Local transmission",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",473,15,4,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",48,0,5,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",24,6,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",94,8,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",7284,1049,289,69,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Belize",2,0,0,0,"Local transmission",2,"Level 2: Exercise Increased Caution","January 4, 2019","Not yet restricted"
"Benin",6,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",15,8,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",3,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",61,22,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Bosnia and Herzegovina",233,20,4,1,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",2915,482,77,20,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"British Virgin Islands",2,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Bulgaria",293,29,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",146,0,3,0,"Local transmission",2,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cabo Verde",5,2,1,1,"Imported cases only",0,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",104,6,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",75,0,1,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",4018,463,39,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",8,0,1,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chad",5,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",1610,304,5,1,"Local transmission",0,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",82213,135,3301,3,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
