title:JTA                                                                             , recorded:03.07.20 14.50.13, sampling:128, subject:JTA                                                                             , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
110,0,4220.512717,4202.564,4230.256307,4291.281946,4255.897332,4234.358871,4249.230665,4249.230665,4251.281947,4252.307588,4237.948614,4266.153742,4242.563999,4217.435794
111,0,4213.846051,4199.487077,4227.692204,4294.358869,4245.640922,4229.743486,4244.10246,4244.10246,4243.58964,4242.051178,4229.230666,4256.922973,4229.743486,4214.358871
112,0,4222.563999,4203.07682,4233.84605,4301.538356,4248.205024,4234.358871,4244.615281,4243.076819,4246.666563,4235.897332,4233.33323,4258.974255,4233.84605,4219.999897
113,0,4220.512717,4199.487077,4231.281948,4301.025536,4242.563999,4227.179384,4238.974255,4236.410153,4248.205024,4236.922973,4230.256307,4255.897332,4235.384512,4219.487076
114,0,4198.974256,4176.922975,4212.82041,4296.410151,4209.230666,4200.512718,4214.358871,4211.794769,4232.820409,4216.922974,4201.538359,4231.794768,4214.871692,4200.512718
115,0,4198.461436,4165.640924,4208.717846,4295.38451,4201.538359,4196.410154,4204.102461,4203.589641,4229.230666,4205.640923,4189.230667,4222.563999,4210.256307,4196.922974
116,0,4226.666563,4187.179385,4230.256307,4294.87169,4245.640922,4224.102461,4229.743486,4230.256307,4247.692204,4239.487076,4220.512717,4253.333229,4239.487076,4229.743486
117,0,4247.179383,4207.179384,4245.640922,4296.922972,4272.820408,4245.640922,4252.307588,4253.84605,4256.922973,4269.743485,4252.307588,4285.1281,4257.435793,4251.281947
118,0,4235.897332,4199.487077,4237.435794,4302.563997,4247.692204,4236.922973,4241.025537,4248.205024,4244.615281,4249.743486,4242.051178,4276.922972,4241.538358,4235.384512
119,0,4221.538358,4185.128103,4226.153743,4307.179382,4244.615281,4217.948615,4225.640922,4233.84605,4236.922973,4226.666563,4223.58964,4258.974255,4230.256307,4219.487076
120,0,4216.410153,4174.871693,4226.666563,4306.666561,4278.974254,4220.512717,4232.307589,4232.820409,4242.563999,4229.743486,4223.58964,4255.897332,4230.256307,4218.461435
121,0,4215.384512,4174.871693,4229.743486,4312.307587,4287.692203,4236.922973,4244.615281,4242.051178,4249.230665,4233.84605,4229.230666,4260.512716,4230.769127,4222.051179
122,0,4225.640922,4183.589641,4234.871691,4292.820408,4279.999895,4234.358871,4245.128101,4248.205024,4248.205024,4234.871691,4235.384512,4270.769126,4240.512717,4233.84605
