title:JTA                                                                             , recorded:03.07.20 12.23.31, sampling:128, subject:JTA                                                                             , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
30,0,4267.692203,4253.84605,4249.230665,4233.84605,4259.487075,4278.461434,4261.025537,4249.230665,4510.76912,4232.307589,4269.230665,4227.692204,4253.333229,4275.384511
31,0,4264.61528,4248.717845,4248.717845,4231.281948,4275.384511,4274.87169,4259.999896,4250.256306,4511.281941,4254.871691,4267.692203,4222.051179,4244.10246,4266.666562
32,0,4260.512716,4243.58964,4247.179383,4230.256307,4271.794767,4278.461434,4264.61528,4254.35887,4506.666556,4286.666562,4260.512716,4222.563999,4249.743486,4265.128101
33,0,4264.61528,4254.871691,4250.256306,4233.84605,4274.35887,4282.563998,4267.692203,4259.487075,4512.307582,4249.230665,4263.076819,4228.717845,4258.974255,4272.820408
34,0,4266.666562,4265.128101,4258.974255,4242.051178,4284.61528,4279.999895,4263.589639,4259.999896,4516.410146,4219.999897,4273.333229,4231.794768,4253.333229,4277.948613
35,0,4272.820408,4265.640921,4263.589639,4247.692204,4274.35887,4278.974254,4263.076819,4268.205024,4520.51271,4261.025537,4278.974254,4236.410153,4254.871691,4278.461434
36,0,4283.076818,4267.692203,4261.025537,4246.153742,4271.794767,4278.461434,4266.666562,4276.922972,4535.897325,4285.640921,4276.922972,4245.128101,4266.666562,4285.640921
37,0,4283.589639,4263.589639,4262.563998,4245.128101,4289.743485,4276.922972,4265.128101,4270.256306,4539.487068,4258.974255,4277.948613,4244.10246,4267.692203,4294.358869
38,0,4275.897331,4251.794768,4259.487075,4242.051178,4279.999895,4275.384511,4261.025537,4261.025537,4524.615274,4254.35887,4279.487075,4235.897332,4261.025537,4287.692203
39,0,4267.692203,4246.153742,4251.794768,4234.358871,4255.384511,4272.307588,4261.538357,4261.538357,4519.487069,4276.922972,4276.410152,4231.281948,4259.487075,4277.948613
40,0,4262.563998,4250.769127,4255.384511,4235.897332,4258.461434,4277.435793,4264.61528,4263.589639,4524.615274,4255.897332,4277.435793,4233.84605,4260.512716,4282.051177
41,0,4266.153742,4258.461434,4262.563998,4247.179383,4288.717844,4287.692203,4265.640921,4262.051178,4526.666556,4230.256307,4281.538357,4241.025537,4262.563998,4286.666562
