title:K                                                                               , recorded:02.07.20 11.48.36, sampling:128, subject:K                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
17,0,4242.051178,4234.871691,4228.205025,4206.666564,4223.58964,4220.512717,4221.025538,4222.563999,4229.230666,4229.230666,4224.102461,4242.051178,4239.487076,4243.58964
18,0,4238.974255,4232.820409,4232.307589,4208.717846,4217.948615,4218.974256,4219.487076,4219.487076,4220.512717,4219.487076,4221.025538,4248.717845,4233.84605,4237.435794
19,0,4230.256307,4214.358871,4221.025538,4199.999897,4205.640923,4211.794769,4211.281948,4210.769128,4214.358871,4220.512717,4213.846051,4245.128101,4230.769127,4230.769127
20,0,4228.205025,4215.897333,4216.922974,4202.051179,4206.153743,4211.281948,4207.692205,4207.179384,4216.922974,4224.615281,4211.281948,4242.563999,4225.640922,4230.769127
21,0,4230.769127,4218.461435,4226.666563,4203.589641,4213.846051,4216.922974,4212.82041,4208.717846,4219.999897,4225.128102,4216.922974,4250.256306,4229.743486,4235.897332
22,0,4228.717845,4208.717846,4227.692204,4199.487077,4206.153743,4218.461435,4219.999897,4209.743487,4218.461435,4221.025538,4217.435794,4253.333229,4230.769127,4233.33323
23,0,4223.58964,4209.230666,4217.948615,4198.974256,4195.384513,4213.846051,4217.948615,4205.640923,4209.743487,4214.358871,4204.615282,4241.538358,4218.974256,4221.025538
24,0,4233.33323,4223.07682,4221.538358,4207.692205,4213.846051,4220.512717,4225.640922,4209.743487,4213.846051,4218.974256,4210.769128,4242.563999,4224.102461,4226.666563
25,0,4248.205024,4229.230666,4239.999896,4217.435794,4240.512717,4230.256307,4241.538358,4227.692204,4235.897332,4238.974255,4234.358871,4261.025537,4249.743486,4248.205024
26,0,4246.153742,4224.615281,4241.025537,4216.410153,4233.33323,4225.640922,4235.897332,4227.692204,4237.435794,4242.051178,4234.358871,4262.051178,4256.922973,4252.307588
27,0,4240.512717,4220.512717,4230.256307,4211.794769,4211.794769,4221.538358,4224.102461,4215.384512,4224.102461,4234.871691,4226.153743,4251.794768,4248.205024,4242.563999
28,0,4239.487076,4217.435794,4227.692204,4212.82041,4207.692205,4222.563999,4225.640922,4215.897333,4225.640922,4234.871691,4230.256307,4248.717845,4245.640922,4237.948614
29,0,4242.051178,4224.102461,4234.358871,4217.948615,4218.974256,4223.07682,4236.922973,4228.717845,4239.999896,4241.538358,4239.999896,4254.35887,4251.794768,4242.051178
30,0,4233.33323,4225.128102,4227.692204,4212.82041,4221.025538,4220.512717,4235.897332,4223.58964,4233.84605,4236.922973,4232.307589,4249.230665,4242.563999,4232.307589
31,0,4233.33323,4223.07682,4225.128102,4213.846051,4226.153743,4225.640922,4235.384512,4219.487076,4228.717845,4233.33323,4228.205025,4247.692204,4241.538358,4229.743486
32,0,4235.384512,4217.435794,4229.230666,4214.871692,4227.179384,4229.743486,4236.410153,4222.563999,4230.256307,4230.769127,4229.230666,4249.230665,4245.128101,4231.281948
33,0,4239.999896,4221.538358,4237.435794,4217.435794,4228.205025,4230.769127,4238.974255,4230.769127,4238.461435,4238.974255,4234.358871,4256.410152,4247.692204,4237.948614
34,0,4233.84605,4217.435794,4233.33323,4211.794769,4215.897333,4225.128102,4230.256307,4226.153743,4231.281948,4231.281948,4227.692204,4252.307588,4234.871691,4230.256307
35,0,4233.84605,4214.358871,4230.769127,4214.358871,4212.307589,4222.563999,4230.769127,4220.512717,4226.666563,4223.58964,4223.58964,4248.717845,4232.820409,4227.179384
36,0,4235.384512,4215.897333,4230.769127,4215.384512,4225.640922,4227.179384,4236.922973,4222.563999,4231.281948,4231.794768,4225.128102,4248.717845,4241.538358,4230.769127
37,0,4238.461435,4223.58964,4232.820409,4215.384512,4233.84605,4231.794768,4242.563999,4229.743486,4241.025537,4245.128101,4233.33323,4254.871691,4246.666563,4236.410153
38,0,4235.384512,4219.487076,4230.769127,4212.82041,4225.640922,4225.128102,4238.974255,4225.128102,4236.410153,4236.922973,4230.769127,4250.769127,4239.999896,4230.769127
39,0,4235.384512,4217.948615,4230.769127,4217.948615,4227.179384,4223.07682,4237.948614,4222.563999,4233.33323,4234.871691,4228.717845,4247.179383,4244.10246,4228.717845
40,0,4233.33323,4218.461435,4228.717845,4220.512717,4233.33323,4227.692204,4237.948614,4227.179384,4233.84605,4234.871691,4231.281948,4246.153742,4248.205024,4229.230666
41,0,4229.743486,4217.948615,4226.153743,4219.487076,4227.179384,4228.717845,4239.487076,4226.666563,4230.256307,4221.538358,4230.769127,4241.538358,4241.538358,4227.692204
42,0,4227.692204,4215.384512,4228.717845,4218.974256,4222.563999,4228.205025,4239.487076,4224.102461,4227.692204,4220.512717,4227.179384,4239.999896,4237.948614,4227.692204
43,0,4225.640922,4212.82041,4227.692204,4216.922974,4228.717845,4230.769127,4240.512717,4226.666563,4231.281948,4232.820409,4232.307589,4243.076819,4242.563999,4227.179384
44,0,4219.487076,4209.230666,4218.974256,4210.769128,4218.461435,4227.692204,4240.512717,4227.692204,4233.33323,4233.33323,4235.384512,4238.461435,4239.999896,4218.461435
45,0,4213.33323,4205.128102,4216.410153,4206.153743,4205.640923,4223.58964,4233.33323,4217.948615,4226.666563,4225.640922,4223.58964,4231.794768,4234.358871,4213.33323
46,0,4214.871692,4207.692205,4221.025538,4208.717846,4215.897333,4224.615281,4228.717845,4211.794769,4223.58964,4229.230666,4221.538358,4233.84605,4236.922973,4218.461435
47,0,4212.307589,4207.179384,4215.897333,4205.640923,4225.128102,4225.128102,4226.153743,4214.358871,4222.563999,4228.717845,4226.666563,4229.230666,4232.820409,4212.82041
48,0,4217.948615,4211.281948,4217.948615,4208.205025,4227.692204,4229.743486,4230.769127,4225.640922,4228.205025,4231.281948,4231.794768,4233.33323,4234.358871,4215.384512
49,0,4221.538358,4213.846051,4224.102461,4214.871692,4222.051179,4229.743486,4230.769127,4225.128102,4229.230666,4228.205025,4227.179384,4241.538358,4236.410153,4222.051179
50,0,4221.025538,4218.461435,4226.153743,4223.07682,4215.897333,4224.615281,4229.743486,4224.615281,4230.256307,4226.666563,4229.230666,4243.076819,4237.948614,4224.102461
51,0,4214.871692,4213.846051,4221.025538,4218.461435,4212.307589,4221.025538,4225.640922,4224.102461,4226.153743,4221.025538,4230.256307,4237.948614,4234.871691,4216.410153
52,0,4219.999897,4212.307589,4225.128102,4218.461435,4223.07682,4227.179384,4230.256307,4227.179384,4227.692204,4217.948615,4229.743486,4241.025537,4238.974255,4219.487076
53,0,4210.769128,4204.615282,4216.410153,4208.717846,4214.871692,4222.051179,4222.563999,4216.922974,4221.025538,4206.666564,4220.512717,4229.230666,4227.692204,4209.743487
54,0,4202.564,4204.102461,4207.692205,4204.102461,4202.564,4214.871692,4213.846051,4206.666564,4214.871692,4206.666564,4216.922974,4221.025538,4220.512717,4199.999897
55,0,4207.692205,4206.666564,4210.769128,4207.179384,4208.717846,4218.974256,4215.897333,4207.179384,4215.897333,4218.974256,4218.461435,4224.102461,4226.666563,4202.564
56,0,4218.974256,4209.743487,4217.948615,4210.256307,4223.58964,4228.717845,4226.153743,4220.512717,4228.205025,4236.410153,4224.102461,4229.743486,4235.897332,4216.922974
57,0,4210.769128,4199.999897,4210.769128,4202.051179,4216.922974,4227.692204,4222.563999,4221.025538,4225.640922,4230.769127,4218.974256,4223.58964,4227.692204,4212.307589
58,0,4202.051179,4194.871692,4206.153743,4201.025538,4213.846051,4224.615281,4219.487076,4214.871692,4218.461435,4214.358871,4213.846051,4221.538358,4223.58964,4203.07682
59,0,4209.230666,4204.102461,4216.410153,4209.230666,4224.615281,4224.102461,4225.128102,4220.512717,4223.58964,4215.384512,4219.999897,4228.205025,4228.717845,4210.256307
60,0,4213.846051,4208.205025,4219.487076,4213.33323,4219.999897,4222.051179,4224.615281,4224.102461,4225.128102,4222.563999,4223.58964,4228.717845,4225.640922,4215.384512
61,0,4208.205025,4199.487077,4209.230666,4210.256307,4198.461436,4218.461435,4216.922974,4217.435794,4218.461435,4216.922974,4214.358871,4218.974256,4217.435794,4206.153743
62,0,4210.256307,4197.435795,4212.82041,4208.205025,4203.07682,4224.102461,4221.538358,4217.435794,4218.974256,4217.948615,4219.487076,4222.051179,4225.640922,4205.640923
63,0,4219.999897,4207.179384,4226.666563,4212.82041,4228.205025,4230.256307,4234.358871,4224.615281,4227.179384,4232.307589,4234.871691,4236.922973,4240.512717,4219.999897
64,0,4215.897333,4205.128102,4221.538358,4213.846051,4230.256307,4224.102461,4228.717845,4216.922974,4221.538358,4225.128102,4226.666563,4230.769127,4232.307589,4218.461435
65,0,4209.230666,4198.461436,4212.82041,4213.846051,4219.487076,4219.487076,4215.897333,4209.743487,4212.82041,4211.794769,4217.948615,4221.025538,4219.999897,4209.230666
66,0,4207.692205,4197.435795,4215.897333,4207.692205,4212.307589,4219.487076,4214.871692,4211.281948,4211.794769,4211.281948,4218.974256,4220.512717,4216.410153,4206.153743
