title:P                                                                               , recorded:02.07.20 10.57.19, sampling:128, subject:N                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
24,0,4220.512717,4224.615281,4224.102461,4225.128102,4197.435795,4208.205025,4217.948615,4184.615282,4213.846051,4210.256307,4208.717846,4217.435794,4201.538359,4224.102461
25,0,4219.487076,4219.999897,4222.563999,4219.999897,4199.487077,4207.179384,4218.974256,4189.230667,4211.794769,4206.153743,4208.717846,4214.871692,4199.487077,4217.948615
26,0,4216.922974,4220.512717,4226.666563,4227.692204,4215.897333,4210.769128,4228.205025,4198.461436,4214.358871,4208.205025,4214.871692,4222.051179,4201.538359,4218.974256
27,0,4209.743487,4216.410153,4225.128102,4225.128102,4214.358871,4208.717846,4230.769127,4197.435795,4213.33323,4214.358871,4213.846051,4221.538358,4197.948615,4218.461435
28,0,4207.692205,4202.564,4215.897333,4211.281948,4196.922974,4200.512718,4224.102461,4188.205026,4201.025538,4205.128102,4202.564,4212.82041,4189.230667,4210.256307
29,0,4215.897333,4200.512718,4216.922974,4213.846051,4194.358872,4203.07682,4223.07682,4188.717846,4200.512718,4193.846051,4205.128102,4215.384512,4192.30759,4212.82041
30,0,4224.615281,4218.461435,4229.743486,4230.769127,4214.871692,4212.82041,4234.871691,4199.999897,4218.974256,4207.179384,4221.538358,4227.179384,4204.102461,4224.615281
31,0,4225.640922,4230.256307,4238.974255,4244.615281,4216.410153,4213.846051,4241.025537,4208.717846,4229.743486,4225.640922,4228.205025,4236.410153,4209.230666,4227.692204
32,0,4225.640922,4228.205025,4239.999896,4239.999896,4196.410154,4208.717846,4232.820409,4208.717846,4227.179384,4223.07682,4224.615281,4237.948614,4208.205025,4225.128102
33,0,4224.102461,4222.563999,4236.410153,4226.666563,4189.230667,4205.640923,4223.58964,4202.051179,4222.563999,4213.846051,4223.58964,4233.33323,4210.256307,4223.07682
34,0,4214.358871,4216.922974,4230.256307,4224.615281,4201.025538,4207.692205,4227.179384,4198.461436,4220.512717,4211.794769,4222.563999,4226.153743,4205.640923,4218.974256
