title:A                                                                               , recorded:02.07.20 13.03.30, sampling:128, subject:S                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
127,0,4104.102464,4222.051179,4212.82041,4207.692205,4230.256307,4192.30759,4227.692204,4287.179382,4359.999893,4235.384512,4257.948614,4221.538358,4208.717846,4234.358871
128,0,4098.974259,4217.948615,4199.487077,4192.30759,4224.102461,4189.743487,4221.025538,4278.461434,4353.333227,4231.281948,4255.384511,4218.461435,4205.128102,4232.307589
0,0,4092.307592,4216.410153,4198.461436,4192.82041,4211.794769,4181.538359,4223.07682,4279.487075,4351.794765,4219.487076,4249.743486,4216.410153,4199.999897,4235.897332
1,0,4103.076823,4220.512717,4208.717846,4205.640923,4227.692204,4174.358872,4229.230666,4285.1281,4354.871688,4216.922974,4253.84605,4224.615281,4202.051179,4240.512717
2,0,4111.281951,4220.512717,4216.410153,4212.307589,4230.769127,4175.897334,4225.640922,4278.461434,4351.794765,4224.102461,4259.999896,4229.743486,4205.640923,4243.076819
3,0,4106.153746,4217.435794,4217.435794,4207.692205,4204.615282,4189.230667,4218.461435,4273.846049,4351.281945,4227.692204,4259.487075,4227.179384,4206.153743,4244.615281
4,0,4105.640925,4219.999897,4218.461435,4207.692205,4198.461436,4197.948615,4224.102461,4278.461434,4360.512714,4232.820409,4257.948614,4224.615281,4207.692205,4246.666563
5,0,4112.307592,4221.538358,4219.487076,4211.281948,4215.897333,4197.948615,4234.358871,4283.076818,4363.076816,4239.487076,4263.076819,4228.205025,4209.230666,4251.281947
6,0,4103.589643,4214.871692,4207.692205,4199.999897,4213.33323,4192.82041,4228.205025,4279.999895,4348.205022,4225.640922,4256.922973,4218.974256,4201.538359,4244.615281
7,0,4095.384515,4211.281948,4198.461436,4193.846051,4200.512718,4185.640923,4217.435794,4270.256306,4336.41015,4209.230666,4245.640922,4207.179384,4193.846051,4230.769127
8,0,4105.640925,4219.487076,4209.230666,4211.281948,4212.307589,4190.769128,4226.153743,4267.692203,4342.563996,4216.410153,4249.230665,4213.846051,4197.948615,4234.358871
9,0,4113.846053,4223.58964,4218.461435,4219.487076,4225.128102,4204.102461,4232.820409,4269.743485,4346.15374,4217.435794,4255.897332,4220.512717,4201.538359,4241.538358
10,0,4104.615284,4217.435794,4212.82041,4206.153743,4216.410153,4203.589641,4224.615281,4268.717844,4340.512714,4206.153743,4249.743486,4209.743487,4197.948615,4231.794768
11,0,4106.666566,4215.384512,4209.230666,4199.999897,4209.743487,4195.384513,4223.07682,4274.35887,4344.615278,4211.794769,4247.179383,4206.666564,4198.461436,4227.179384
12,0,4115.897335,4216.410153,4212.307589,4202.051179,4218.974256,4194.358872,4226.153743,4279.999895,4351.281945,4223.58964,4254.871691,4219.999897,4206.153743,4238.461435
13,0,4116.410156,4215.384512,4217.435794,4200.512718,4218.461435,4204.102461,4225.640922,4273.846049,4348.205022,4220.512717,4261.025537,4229.230666,4214.871692,4244.615281
14,0,4116.410156,4214.358871,4223.07682,4199.999897,4210.256307,4205.128102,4229.230666,4275.897331,4350.256304,4215.384512,4261.025537,4229.743486,4215.897333,4244.10246
15,0,4124.615284,4217.435794,4226.153743,4207.692205,4224.615281,4198.974256,4234.871691,4287.179382,4359.487073,4224.102461,4265.128101,4234.871691,4218.461435,4248.205024
16,0,4127.179386,4218.461435,4221.025538,4207.179384,4236.922973,4204.615282,4233.33323,4283.589639,4357.435791,4232.307589,4270.256306,4238.974255,4223.58964,4251.794768
17,0,4126.153745,4215.384512,4214.358871,4200.512718,4219.999897,4215.897333,4227.692204,4271.794767,4345.640919,4225.128102,4263.589639,4232.820409,4222.051179,4251.794768
18,0,4128.205027,4218.461435,4213.33323,4203.07682,4209.743487,4218.974256,4227.692204,4267.692203,4342.051176,4216.922974,4252.307588,4224.615281,4217.948615,4249.230665
19,0,4123.076822,4216.922974,4207.179384,4199.999897,4219.999897,4214.871692,4231.794768,4267.692203,4342.563996,4213.846051,4246.666563,4216.410153,4213.33323,4238.974255
20,0,4116.410156,4204.102461,4194.358872,4186.153744,4219.999897,4210.256307,4228.205025,4266.666562,4338.974253,4204.615282,4240.512717,4205.128102,4202.564,4224.102461
