title:K                                                                               , recorded:02.07.20 11.34.31, sampling:128, subject:K                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
3,0,4211.281948,4206.153743,4209.230666,4233.33323,4176.410154,4208.717846,4209.743487,4211.794769,4222.563999,4229.230666,4214.358871,4229.230666,4226.153743,4219.487076
4,0,4224.102461,4227.179384,4219.487076,4250.256306,4223.07682,4233.33323,4211.794769,4219.487076,4227.692204,4246.666563,4215.384512,4238.461435,4240.512717,4221.538358
5,0,4228.205025,4238.974255,4228.205025,4225.640922,4261.025537,4248.205024,4221.538358,4230.256307,4239.999896,4233.84605,4222.563999,4235.384512,4250.256306,4216.410153
6,0,4210.769128,4220.512717,4211.794769,4218.461435,4218.461435,4227.692204,4215.384512,4217.948615,4232.820409,4216.922974,4221.538358,4216.410153,4235.384512,4218.461435
7,0,4204.615282,4214.871692,4219.487076,4247.692204,4215.384512,4229.230666,4215.384512,4216.410153,4223.07682,4217.948615,4213.846051,4213.846051,4226.666563,4219.487076
8,0,4208.717846,4223.07682,4227.179384,4235.384512,4254.35887,4222.563999,4218.974256,4222.051179,4225.640922,4211.794769,4208.717846,4218.974256,4226.666563,4205.128102
9,0,4208.205025,4216.922974,4205.128102,4213.846051,4230.769127,4216.410153,4217.948615,4218.461435,4232.307589,4214.871692,4214.358871,4212.307589,4227.692204,4198.974256
10,0,4213.846051,4219.999897,4210.256307,4236.922973,4205.128102,4254.871691,4225.640922,4222.051179,4234.871691,4227.179384,4223.58964,4214.871692,4237.948614,4205.640923
11,0,4217.948615,4229.230666,4230.256307,4245.640922,4224.102461,4261.538357,4229.230666,4225.640922,4227.179384,4206.153743,4213.846051,4221.025538,4229.230666,4199.487077
12,0,4211.281948,4224.102461,4218.461435,4226.153743,4224.615281,4228.717845,4221.538358,4220.512717,4225.640922,4197.435795,4202.051179,4208.717846,4212.307589,4197.948615
13,0,4208.205025,4209.743487,4202.051179,4210.769128,4215.897333,4203.589641,4206.666564,4209.743487,4224.102461,4225.640922,4207.692205,4194.871692,4219.487076,4206.153743
14,0,4214.358871,4212.82041,4211.794769,4216.922974,4230.769127,4210.769128,4209.230666,4205.128102,4218.461435,4234.871691,4220.512717,4203.589641,4231.794768,4202.564
15,0,4211.281948,4225.640922,4225.128102,4239.999896,4230.256307,4241.025537,4226.153743,4216.410153,4226.153743,4217.948615,4222.563999,4217.948615,4233.33323,4202.564
16,0,4209.230666,4222.563999,4227.179384,4241.538358,4209.230666,4242.051178,4224.615281,4221.025538,4231.794768,4211.281948,4214.871692,4215.897333,4231.794768,4215.384512
17,0,4217.948615,4213.33323,4227.692204,4226.666563,4210.769128,4225.128102,4216.410153,4214.358871,4222.563999,4217.948615,4217.435794,4217.435794,4233.84605,4222.563999
18,0,4223.07682,4221.025538,4221.538358,4229.743486,4230.256307,4243.58964,4227.179384,4222.051179,4229.743486,4235.897332,4227.692204,4226.666563,4239.999896,4221.025538
19,0,4223.58964,4236.410153,4219.487076,4233.84605,4237.435794,4259.487075,4236.922973,4236.922973,4245.640922,4245.640922,4228.717845,4228.205025,4247.179383,4218.461435
20,0,4223.58964,4232.307589,4222.051179,4237.948614,4227.692204,4234.358871,4229.230666,4229.230666,4234.358871,4215.897333,4214.871692,4223.58964,4243.076819,4219.487076
21,0,4225.128102,4224.615281,4229.743486,4249.743486,4218.974256,4232.307589,4229.230666,4218.461435,4226.666563,4196.410154,4211.281948,4228.205025,4242.051178,4227.692204
22,0,4230.256307,4225.128102,4238.461435,4238.974255,4212.307589,4231.794768,4230.769127,4220.512717,4234.358871,4213.33323,4225.640922,4232.820409,4245.128101,4235.384512
23,0,4233.84605,4225.128102,4234.358871,4224.102461,4199.487077,4210.769128,4217.435794,4221.025538,4232.307589,4221.025538,4231.281948,4226.666563,4244.10246,4234.871691
24,0,4237.948614,4235.897332,4225.640922,4245.640922,4197.948615,4223.07682,4212.82041,4219.999897,4231.281948,4216.410153,4229.230666,4234.871691,4261.025537,4248.717845
25,0,4264.10246,4251.794768,4247.179383,4264.10246,4203.589641,4235.384512,4222.051179,4218.461435,4232.820409,4215.384512,4241.025537,4255.384511,4283.589639,4273.333229
26,0,4297.948613,4261.538357,4282.051177,4249.743486,4194.871692,4230.256307,4227.692204,4216.922974,4229.743486,4218.461435,4255.384511,4256.922973,4293.333228,4289.743485
27,0,4301.025536,4274.87169,4265.128101,4253.84605,4202.564,4231.794768,4219.487076,4216.410153,4229.743486,4216.922974,4248.205024,4247.692204,4305.64092,4300.512715
28,0,4296.410151,4284.61528,4235.384512,4275.384511,4213.846051,4220.512717,4210.769128,4214.871692,4230.256307,4214.871692,4248.717845,4253.84605,4325.128099,4319.487074
29,0,4312.307587,4280.512716,4260.512716,4267.692203,4196.410154,4208.205025,4218.461435,4218.974256,4229.743486,4221.538358,4270.256306,4266.153742,4336.41015,4336.922971
30,0,4325.64092,4282.563998,4287.179382,4248.205024,4194.358872,4217.948615,4227.179384,4229.743486,4239.999896,4241.538358,4276.410152,4276.410152,4342.563996,4344.615278
31,0,4322.563997,4281.025536,4280.512716,4246.666563,4204.615282,4215.384512,4222.051179,4232.307589,4239.487076,4254.35887,4267.179383,4280.512716,4342.051176,4351.281945
32,0,4321.538356,4266.666562,4279.999895,4266.666562,4201.025538,4229.743486,4223.58964,4230.769127,4228.717845,4246.153742,4272.307588,4279.487075,4337.435791,4357.435791
33,0,4324.102458,4276.922972,4283.076818,4290.256305,4223.58964,4259.487075,4236.410153,4236.410153,4239.999896,4240.512717,4285.1281,4285.640921,4347.179381,4363.589637
34,0,4314.871689,4297.435792,4266.153742,4280.512716,4235.897332,4231.281948,4232.307589,4233.33323,4244.615281,4221.538358,4276.410152,4286.666562,4348.717842,4356.41015
35,0,4308.205023,4278.974254,4268.205024,4248.205024,4195.897333,4204.102461,4218.461435,4224.102461,4229.743486,4209.230666,4262.051178,4277.948613,4330.769125,4328.717843
36,0,4303.589638,4256.410152,4283.589639,4244.10246,4194.358872,4232.307589,4218.974256,4222.563999,4230.256307,4246.153742,4262.051178,4271.281947,4311.794766,4311.281946
37,0,4286.666562,4266.153742,4251.794768,4253.84605,4233.84605,4233.33323,4217.435794,4215.384512,4235.384512,4269.230665,4251.281947,4254.35887,4297.948613,4311.794766
38,0,4271.794767,4266.666562,4227.179384,4248.717845,4230.769127,4201.025538,4208.205025,4209.743487,4223.07682,4236.922973,4230.256307,4241.538358,4288.717844,4307.179382
39,0,4273.333229,4248.717845,4256.922973,4253.333229,4216.410153,4214.871692,4216.410153,4224.102461,4228.717845,4223.58964,4236.922973,4255.897332,4287.692203,4298.461433
40,0,4268.205024,4242.051178,4263.589639,4253.333229,4203.07682,4244.10246,4230.256307,4237.948614,4244.10246,4237.948614,4258.461434,4258.461434,4280.512716,4289.230664
41,0,4251.281947,4239.999896,4232.820409,4229.743486,4190.769128,4244.10246,4232.307589,4232.307589,4233.84605,4227.692204,4250.256306,4231.281948,4256.410152,4263.076819
42,0,4243.076819,4238.461435,4224.615281,4233.33323,4221.538358,4251.281947,4231.794768,4230.769127,4232.820409,4228.717845,4232.307589,4221.538358,4244.10246,4238.974255
43,0,4242.051178,4234.871691,4231.281948,4249.230665,4244.10246,4254.35887,4234.358871,4238.974255,4252.307588,4238.974255,4234.871691,4233.84605,4250.769127,4244.10246
44,0,4230.769127,4223.07682,4219.999897,4234.358871,4218.974256,4221.025538,4229.230666,4230.769127,4246.153742,4218.461435,4233.33323,4233.33323,4250.769127,4250.256306
45,0,4220.512717,4215.384512,4215.897333,4221.025538,4207.692205,4198.974256,4226.153743,4224.615281,4231.281948,4216.410153,4232.820409,4230.769127,4244.615281,4238.461435
46,0,4233.84605,4233.33323,4243.58964,4234.871691,4218.461435,4242.563999,4240.512717,4248.717845,4254.871691,4264.10246,4251.794768,4253.84605,4256.922973,4237.948614
47,0,4251.794768,4252.820409,4262.563998,4248.717845,4218.461435,4280.512716,4249.743486,4259.999896,4272.307588,4275.897331,4257.948614,4269.743485,4268.205024,4249.230665
48,0,4242.563999,4231.281948,4239.999896,4247.692204,4221.538358,4247.179383,4236.410153,4237.435794,4248.717845,4230.769127,4243.076819,4252.307588,4249.743486,4238.974255
49,0,4224.615281,4210.256307,4222.051179,4238.974255,4233.84605,4214.871692,4225.640922,4229.743486,4243.076819,4234.358871,4240.512717,4238.974255,4236.922973,4226.666563
50,0,4225.128102,4227.692204,4239.487076,4230.769127,4238.461435,4243.076819,4232.307589,4247.179383,4261.538357,4281.025536,4250.769127,4249.743486,4252.307588,4233.84605
51,0,4228.205025,4232.307589,4248.205024,4228.205025,4224.102461,4263.589639,4237.435794,4250.769127,4262.051178,4271.281947,4248.205024,4252.307588,4254.35887,4227.692204
52,0,4219.999897,4202.051179,4229.743486,4229.230666,4202.564,4224.102461,4230.769127,4235.384512,4241.538358,4223.58964,4231.281948,4233.33323,4228.717845,4206.666564
53,0,4218.974256,4205.640923,4215.384512,4234.871691,4210.769128,4213.33323,4228.717845,4230.769127,4232.307589,4222.563999,4227.179384,4227.692204,4229.743486,4208.717846
54,0,4230.256307,4226.153743,4221.538358,4232.307589,4229.230666,4259.487075,4238.461435,4242.051178,4245.128101,4245.128101,4238.461435,4243.076819,4253.333229,4222.051179
55,0,4224.615281,4200.512718,4237.435794,4218.461435,4215.384512,4256.922973,4237.948614,4236.922973,4247.179383,4231.281948,4232.307589,4243.58964,4239.999896,4214.358871
56,0,4210.769128,4194.358872,4236.410153,4221.538358,4199.487077,4221.538358,4228.717845,4219.487076,4229.230666,4216.410153,4216.410153,4228.717845,4215.897333,4208.717846
57,0,4220.512717,4234.358871,4229.230666,4239.999896,4222.051179,4239.999896,4235.897332,4225.640922,4227.179384,4228.205025,4226.153743,4231.794768,4227.179384,4226.153743
58,0,4230.256307,4231.281948,4234.358871,4233.84605,4244.615281,4248.717845,4237.948614,4235.897332,4234.871691,4240.512717,4234.358871,4240.512717,4233.84605,4226.153743
59,0,4215.897333,4194.358872,4228.205025,4219.487076,4218.974256,4210.769128,4219.487076,4217.435794,4221.025538,4228.205025,4220.512717,4227.179384,4215.897333,4202.564
60,0,4212.82041,4202.564,4208.205025,4229.230666,4192.82041,4207.692205,4217.435794,4208.205025,4212.307589,4205.640923,4217.948615,4218.461435,4211.794769,4202.564
61,0,4217.948615,4215.384512,4212.307589,4227.692204,4205.128102,4238.974255,4232.820409,4223.58964,4218.974256,4195.897333,4226.153743,4226.153743,4217.948615,4219.999897
62,0,4209.230666,4202.051179,4229.230666,4214.358871,4205.640923,4255.897332,4236.922973,4233.33323,4229.743486,4218.461435,4228.205025,4233.84605,4218.461435,4217.435794
63,0,4204.615282,4203.589641,4219.487076,4223.07682,4197.435795,4248.205024,4232.307589,4231.281948,4243.58964,4247.179383,4228.717845,4229.743486,4217.948615,4209.230666
64,0,4213.33323,4219.999897,4206.666564,4232.820409,4222.563999,4230.256307,4226.153743,4229.743486,4243.58964,4239.487076,4228.205025,4218.461435,4217.948615,4215.897333
65,0,4219.487076,4227.179384,4218.461435,4230.256307,4243.58964,4237.435794,4228.717845,4232.307589,4234.358871,4230.256307,4227.692204,4222.051179,4218.974256,4221.025538
66,0,4213.846051,4218.974256,4222.563999,4221.538358,4226.153743,4242.563999,4229.743486,4232.307589,4231.281948,4236.410153,4223.07682,4227.692204,4215.897333,4216.410153
67,0,4206.153743,4194.871692,4216.922974,4206.666564,4202.564,4214.871692,4221.025538,4226.153743,4230.256307,4221.538358,4217.435794,4218.461435,4208.717846,4212.307589
68,0,4207.692205,4192.82041,4219.487076,4198.974256,4204.615282,4214.358871,4222.051179,4230.769127,4237.948614,4212.82041,4223.58964,4219.999897,4213.33323,4215.384512
69,0,4214.358871,4221.538358,4213.33323,4212.82041,4230.769127,4250.256306,4235.897332,4241.538358,4246.153742,4237.948614,4236.922973,4234.871691,4224.102461,4224.615281
70,0,4209.230666,4216.922974,4195.384513,4224.615281,4226.666563,4241.025537,4234.871691,4235.897332,4235.897332,4232.820409,4230.256307,4224.615281,4212.307589,4217.435794
71,0,4205.128102,4191.281949,4198.974256,4227.692204,4175.384513,4218.974256,4227.692204,4226.153743,4227.179384,4196.410154,4213.846051,4210.256307,4196.410154,4202.564
72,0,4208.205025,4203.589641,4222.563999,4222.563999,4177.435795,4235.897332,4226.153743,4230.769127,4238.974255,4212.307589,4219.999897,4225.640922,4201.025538,4205.640923
73,0,4199.487077,4203.589641,4218.974256,4194.358872,4233.84605,4222.563999,4216.410153,4224.615281,4234.871691,4244.10246,4221.025538,4225.640922,4194.358872,4202.051179
74,0,4193.333231,4184.102462,4198.461436,4197.435795,4235.384512,4206.153743,4216.410153,4216.410153,4221.025538,4231.281948,4205.128102,4208.205025,4178.974257,4183.076821
75,0,4204.615282,4212.307589,4204.615282,4237.948614,4204.102461,4248.205024,4235.384512,4234.358871,4230.256307,4226.153743,4206.153743,4217.435794,4186.666564,4190.256308
76,0,4206.666564,4227.179384,4220.512717,4230.256307,4215.897333,4255.384511,4238.461435,4245.128101,4235.384512,4230.769127,4218.461435,4228.717845,4190.769128,4204.615282
77,0,4202.051179,4185.640923,4220.512717,4196.922974,4219.999897,4213.846051,4227.692204,4234.358871,4225.128102,4205.128102,4217.435794,4219.487076,4179.487077,4192.82041
78,0,4209.743487,4181.025539,4217.435794,4208.717846,4177.948616,4217.948615,4226.666563,4227.692204,4220.512717,4195.897333,4211.281948,4215.897333,4178.461436,4187.692205
79,0,4209.743487,4214.358871,4218.461435,4226.666563,4172.30759,4235.897332,4223.58964,4220.512717,4214.871692,4209.230666,4204.615282,4213.846051,4174.871693,4193.846051
80,0,4193.846051,4210.769128,4214.871692,4213.846051,4210.769128,4212.82041,4213.846051,4216.922974,4207.692205,4194.358872,4194.871692,4203.07682,4163.589642,4188.717846
81,0,4198.461436,4192.30759,4218.974256,4212.307589,4216.922974,4216.410153,4224.615281,4233.84605,4224.615281,4205.128102,4205.640923,4210.769128,4176.922975,4190.256308
