title:JTA                                                                             , recorded:03.07.20 13.46.32, sampling:128, subject:JTA                                                                             , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
109,0,4198.974256,4211.794769,4234.871691,4171.79477,4196.410154,4205.128102,4213.846051,4220.512717,4218.974256,4308.717843,4196.410154,4192.30759,4186.153744,4169.230667
110,0,4201.538359,4215.897333,4230.256307,4177.948616,4210.256307,4198.974256,4197.435795,4212.307589,4214.871692,4309.743484,4191.281949,4184.615282,4183.589641,4170.256308
111,0,4203.589641,4215.897333,4227.692204,4178.461436,4217.948615,4209.743487,4201.538359,4212.82041,4215.384512,4302.051177,4193.333231,4187.179385,4187.179385,4169.230667
112,0,4205.128102,4214.871692,4221.538358,4193.333231,4215.384512,4213.33323,4216.922974,4216.410153,4219.487076,4297.435792,4201.538359,4195.897333,4190.769128,4168.717847
113,0,4201.538359,4214.871692,4216.410153,4201.025538,4220.512717,4207.692205,4221.538358,4219.487076,4217.948615,4310.256305,4199.999897,4194.358872,4189.743487,4169.230667
114,0,4198.461436,4214.358871,4217.435794,4188.205026,4214.871692,4212.307589,4216.410153,4216.410153,4216.410153,4316.410151,4190.769128,4187.179385,4187.179385,4167.692206
115,0,4200.512718,4214.358871,4219.487076,4188.717846,4197.435795,4212.307589,4213.33323,4212.307589,4216.922974,4310.256305,4191.281949,4186.666564,4188.717846,4167.692206
116,0,4201.025538,4216.922974,4215.897333,4197.948615,4206.666564,4207.692205,4215.897333,4213.846051,4215.897333,4312.307587,4199.487077,4186.666564,4192.30759,4169.230667
117,0,4199.999897,4217.948615,4215.897333,4191.794769,4228.717845,4221.025538,4221.538358,4221.538358,4219.487076,4319.487074,4199.999897,4184.615282,4192.30759,4166.666565
118,0,4197.948615,4211.281948,4227.179384,4169.230667,4225.128102,4219.487076,4217.435794,4223.07682,4224.102461,4318.461433,4191.281949,4181.025539,4184.102462,4155.897334
119,0,4191.794769,4202.564,4238.974255,4136.410155,4209.743487,4192.30759,4198.461436,4206.153743,4214.358871,4310.769125,4181.025539,4174.358872,4173.333231,4147.179386
120,0,4181.538359,4189.743487,4236.410153,4118.974258,4203.07682,4186.666564,4182.564,4182.05118,4199.999897,4289.743485,4166.153744,4164.102462,4164.615283,4139.487078
121,0,4178.461436,4185.128103,4230.256307,4136.410155,4198.974256,4199.487077,4187.179385,4186.666564,4203.589641,4277.435793,4166.666565,4162.564001,4168.205026,4135.897335
122,0,4191.794769,4201.025538,4233.84605,4150.256309,4198.974256,4205.640923,4199.999897,4205.128102,4212.82041,4293.846049,4184.615282,4173.333231,4181.538359,4146.666565
123,0,4198.461436,4215.384512,4234.871691,4156.922975,4210.256307,4211.281948,4202.564,4204.102461,4214.358871,4312.820407,4190.769128,4183.076821,4186.153744,4157.948616
