title:P                                                                               , recorded:02.07.20 11.17.30, sampling:128, subject:N                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
96,0,4297.948613,4239.487076,4244.10246,4212.82041,4232.307589,4229.230666,4232.307589,4233.33323,4225.640922,4203.07682,4225.128102,4198.974256,4250.256306,4230.769127
97,0,4303.589638,4250.769127,4250.256306,4226.666563,4249.230665,4216.922974,4229.230666,4235.897332,4227.179384,4221.025538,4247.179383,4210.256307,4263.076819,4242.563999
98,0,4313.333228,4263.076819,4248.717845,4249.230665,4247.692204,4230.769127,4238.974255,4244.10246,4234.358871,4224.615281,4248.205024,4207.692205,4265.640921,4241.538358
99,0,4325.64092,4266.666562,4251.281947,4256.922973,4239.999896,4230.256307,4239.999896,4249.230665,4240.512717,4225.128102,4253.84605,4204.615282,4274.87169,4250.256306
100,0,4323.076817,4261.025537,4253.333229,4238.461435,4247.692204,4220.512717,4240.512717,4245.128101,4236.922973,4226.666563,4258.461434,4196.410154,4275.384511,4255.384511
101,0,4303.076818,4244.615281,4237.435794,4219.999897,4243.58964,4220.512717,4236.410153,4230.769127,4223.58964,4212.82041,4237.435794,4176.922975,4259.999896,4232.820409
102,0,4290.769126,4230.769127,4224.615281,4216.410153,4222.563999,4221.538358,4224.615281,4224.102461,4216.410153,4195.384513,4223.07682,4166.666565,4251.794768,4215.384512
103,0,4296.922972,4231.794768,4226.666563,4214.871692,4213.846051,4219.487076,4223.07682,4233.84605,4221.025538,4197.948615,4233.84605,4169.743488,4251.794768,4224.615281
104,0,4306.153741,4243.076819,4237.435794,4219.487076,4225.128102,4225.128102,4232.307589,4240.512717,4226.153743,4213.846051,4246.153742,4174.871693,4253.84605,4239.999896
105,0,4299.999895,4244.10246,4241.025537,4222.051179,4230.256307,4224.615281,4232.820409,4231.281948,4224.102461,4213.33323,4241.538358,4174.871693,4254.35887,4236.410153
106,0,4293.846049,4243.076819,4238.461435,4218.461435,4237.435794,4225.640922,4233.84605,4230.256307,4231.281948,4209.743487,4237.435794,4173.333231,4257.948614,4230.256307
107,0,4302.563997,4251.281947,4243.076819,4219.999897,4242.563999,4238.461435,4243.58964,4245.128101,4245.640922,4223.58964,4250.769127,4184.615282,4268.717844,4239.999896
108,0,4307.179382,4252.307588,4250.769127,4230.769127,4234.871691,4245.640922,4252.307588,4250.769127,4243.58964,4224.102461,4258.974255,4194.358872,4269.743485,4245.128101
