title:K                                                                               , recorded:02.07.20 11.50.22, sampling:128, subject:K                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
4,0,4235.384512,4221.538358,4222.051179,4234.871691,4231.281948,4216.410153,4216.922974,4157.948616,4222.563999,4226.153743,4229.230666,4224.615281,4236.922973,4234.871691
5,0,4241.538358,4226.666563,4228.205025,4243.076819,4228.717845,4217.948615,4217.948615,4158.974257,4222.051179,4225.128102,4230.256307,4228.717845,4238.974255,4238.461435
6,0,4245.640922,4225.640922,4229.743486,4241.025537,4230.256307,4217.435794,4216.922974,4163.589642,4222.563999,4232.307589,4231.281948,4230.769127,4236.410153,4240.512717
7,0,4242.563999,4217.948615,4229.230666,4235.897332,4235.897332,4216.922974,4215.384512,4165.128103,4227.692204,4234.358871,4234.358871,4234.871691,4237.948614,4242.051178
8,0,4228.717845,4208.717846,4220.512717,4229.230666,4227.692204,4212.307589,4206.153743,4154.358873,4219.999897,4221.025538,4224.615281,4225.640922,4225.640922,4231.281948
9,0,4234.871691,4219.487076,4224.615281,4239.999896,4231.281948,4216.410153,4214.358871,4157.948616,4221.025538,4227.179384,4226.666563,4226.153743,4228.205025,4234.871691
10,0,4235.384512,4223.07682,4226.666563,4241.538358,4240.512717,4222.051179,4226.666563,4167.179385,4228.717845,4231.794768,4232.820409,4227.179384,4232.307589,4235.384512
11,0,4229.743486,4225.128102,4221.538358,4234.358871,4237.435794,4223.58964,4231.794768,4171.281949,4233.84605,4234.358871,4229.743486,4223.07682,4226.153743,4230.256307
12,0,4221.025538,4217.948615,4210.256307,4223.58964,4215.384512,4213.846051,4220.512717,4162.05118,4221.025538,4228.205025,4215.897333,4216.410153,4208.717846,4221.538358
13,0,4227.179384,4216.410153,4209.743487,4225.640922,4221.025538,4215.897333,4221.025538,4165.640924,4224.102461,4233.84605,4222.051179,4225.128102,4210.769128,4227.179384
14,0,4229.743486,4217.435794,4212.307589,4226.153743,4239.999896,4223.07682,4226.666563,4172.820411,4237.948614,4236.410153,4233.33323,4231.794768,4217.948615,4232.307589
15,0,4236.410153,4226.666563,4217.948615,4231.794768,4247.692204,4226.666563,4231.281948,4176.410154,4241.538358,4233.84605,4237.948614,4238.461435,4223.58964,4237.948614
16,0,4242.563999,4231.794768,4224.615281,4237.435794,4241.025537,4225.128102,4232.307589,4175.384513,4234.871691,4241.025537,4234.358871,4242.051178,4221.538358,4238.461435
