title:P                                                                               , recorded:02.07.20 11.15.23, sampling:128, subject:N                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
69,0,4218.461435,4215.897333,4216.410153,4235.897332,4220.512717,4219.999897,4216.410153,4370.769124,4228.205025,4225.128102,4240.512717,4219.999897,4219.487076,4259.999896
70,0,4222.563999,4224.102461,4218.461435,4235.897332,4231.281948,4224.615281,4218.461435,4374.358867,4234.358871,4227.179384,4240.512717,4224.615281,4218.461435,4267.179383
71,0,4224.102461,4221.538358,4217.948615,4232.307589,4229.230666,4223.58964,4223.58964,4376.92297,4237.435794,4226.153743,4244.615281,4227.179384,4219.999897,4271.281947
72,0,4224.615281,4219.999897,4214.358871,4236.410153,4228.717845,4218.974256,4221.538358,4376.410149,4236.410153,4225.640922,4248.717845,4229.743486,4220.512717,4271.794767
73,0,4227.179384,4226.666563,4217.948615,4237.948614,4235.897332,4218.461435,4215.897333,4371.794765,4237.435794,4216.922974,4248.205024,4233.84605,4221.538358,4273.333229
74,0,4226.153743,4222.051179,4217.948615,4228.717845,4232.820409,4224.615281,4218.461435,4367.692201,4232.307589,4206.153743,4236.410153,4230.256307,4217.948615,4267.692203
75,0,4222.563999,4213.846051,4213.846051,4226.666563,4226.666563,4225.640922,4226.153743,4369.230662,4229.743486,4216.410153,4229.743486,4229.743486,4216.922974,4258.461434
76,0,4222.051179,4216.410153,4213.33323,4230.256307,4223.58964,4219.999897,4225.640922,4370.769124,4233.33323,4225.128102,4240.512717,4234.871691,4220.512717,4259.487075
77,0,4224.102461,4224.102461,4214.871692,4231.281948,4225.128102,4229.230666,4227.692204,4373.846047,4237.948614,4227.179384,4252.820409,4233.84605,4222.563999,4265.640921
78,0,4225.640922,4227.692204,4215.384512,4235.384512,4231.281948,4238.461435,4238.461435,4378.974252,4244.615281,4240.512717,4252.820409,4229.743486,4225.128102,4265.128101
79,0,4226.666563,4225.640922,4218.974256,4239.487076,4233.84605,4235.897332,4242.563999,4382.563995,4252.820409,4248.205024,4249.230665,4235.897332,4230.256307,4267.692203
80,0,4225.128102,4222.563999,4219.487076,4235.897332,4229.743486,4232.820409,4233.33323,4379.487072,4248.205024,4237.948614,4246.666563,4238.974255,4227.692204,4274.35887
81,0,4227.692204,4235.384512,4222.051179,4245.128101,4229.743486,4236.410153,4231.794768,4376.92297,4243.076819,4240.512717,4247.692204,4241.025537,4225.640922,4279.999895
82,0,4227.692204,4242.051178,4225.640922,4244.615281,4232.820409,4239.487076,4238.461435,4379.487072,4249.743486,4247.179383,4247.179383,4246.153742,4228.717845,4279.999895
83,0,4223.07682,4231.281948,4220.512717,4227.692204,4236.922973,4241.025537,4238.461435,4382.563995,4249.743486,4239.487076,4243.58964,4243.58964,4227.179384,4276.922972
84,0,4224.615281,4229.230666,4216.410153,4236.922973,4235.384512,4242.563999,4235.897332,4377.948611,4237.435794,4233.33323,4247.179383,4236.922973,4221.025538,4273.846049
85,0,4223.07682,4233.84605,4218.461435,4251.281947,4226.666563,4239.999896,4233.84605,4369.230662,4232.307589,4230.256307,4248.717845,4233.33323,4218.974256,4268.205024
86,0,4216.922974,4227.692204,4209.743487,4233.84605,4225.640922,4233.33323,4230.769127,4366.66656,4238.461435,4227.179384,4241.025537,4229.230666,4216.922974,4264.10246
87,0,4214.871692,4224.102461,4203.07682,4225.128102,4228.717845,4231.281948,4232.820409,4370.769124,4242.563999,4231.281948,4236.922973,4230.256307,4217.435794,4267.179383
88,0,4216.922974,4230.769127,4212.307589,4240.512717,4228.717845,4232.820409,4235.384512,4370.769124,4239.999896,4237.435794,4236.410153,4234.358871,4218.461435,4269.743485
89,0,4215.384512,4229.230666,4212.307589,4233.33323,4226.666563,4230.769127,4231.281948,4364.615278,4232.820409,4233.84605,4229.743486,4228.205025,4212.82041,4262.563998
90,0,4214.871692,4223.07682,4203.589641,4225.128102,4223.07682,4228.717845,4228.717845,4365.640919,4231.281948,4216.922974,4233.84605,4225.128102,4213.33323,4261.538357
91,0,4218.461435,4225.640922,4209.230666,4236.410153,4219.999897,4228.717845,4228.717845,4367.692201,4232.820409,4208.205025,4243.58964,4232.307589,4223.58964,4271.794767
92,0,4225.128102,4232.820409,4218.974256,4234.358871,4222.563999,4231.794768,4227.692204,4366.153739,4235.384512,4226.153743,4244.615281,4237.435794,4228.717845,4276.922972
93,0,4225.640922,4228.717845,4212.307589,4228.717845,4216.410153,4230.769127,4229.230666,4365.640919,4235.897332,4240.512717,4238.461435,4233.33323,4217.948615,4269.743485
94,0,4218.461435,4221.025538,4206.666564,4238.461435,4212.307589,4225.128102,4228.205025,4363.589637,4230.256307,4231.281948,4236.410153,4230.256307,4213.846051,4263.589639
95,0,4213.846051,4218.461435,4204.615282,4233.33323,4220.512717,4221.025538,4221.025538,4359.487073,4227.179384,4225.128102,4234.358871,4226.666563,4218.974256,4263.589639
96,0,4214.358871,4221.538358,4199.999897,4223.07682,4223.58964,4224.615281,4221.025538,4362.563996,4230.256307,4234.871691,4231.281948,4224.102461,4218.974256,4266.666562
97,0,4212.82041,4223.58964,4196.922974,4228.205025,4218.461435,4222.563999,4226.666563,4363.076816,4228.717845,4232.307589,4232.820409,4219.999897,4216.922974,4266.666562
98,0,4212.82041,4222.051179,4197.435795,4227.692204,4218.974256,4217.948615,4227.692204,4359.999893,4226.666563,4224.615281,4239.999896,4218.461435,4217.435794,4265.128101
99,0,4210.256307,4212.307589,4195.897333,4220.512717,4213.33323,4218.461435,4222.563999,4359.487073,4226.153743,4220.512717,4240.512717,4220.512717,4214.358871,4257.948614
100,0,4211.794769,4216.410153,4199.487077,4226.153743,4214.871692,4222.051179,4221.538358,4361.025534,4223.58964,4227.179384,4238.974255,4226.666563,4218.461435,4258.974255
101,0,4214.358871,4226.153743,4205.128102,4227.179384,4215.897333,4218.974256,4221.538358,4355.897329,4221.025538,4233.33323,4237.435794,4231.281948,4224.102461,4262.563998
102,0,4213.846051,4221.025538,4204.615282,4226.153743,4205.128102,4216.922974,4225.128102,4354.871688,4222.051179,4223.07682,4234.358871,4229.743486,4219.999897,4256.922973
103,0,4214.871692,4218.974256,4204.102461,4236.922973,4207.179384,4219.487076,4229.743486,4358.974252,4223.58964,4217.435794,4232.307589,4227.692204,4215.897333,4253.333229
104,0,4216.410153,4223.07682,4203.589641,4237.948614,4217.435794,4218.974256,4223.07682,4354.358868,4220.512717,4223.07682,4233.33323,4224.615281,4215.897333,4255.897332
105,0,4212.82041,4216.922974,4202.051179,4224.615281,4208.717846,4215.897333,4214.871692,4347.179381,4217.948615,4223.07682,4226.666563,4218.461435,4207.692205,4249.743486
106,0,4209.743487,4214.358871,4201.025538,4219.999897,4204.102461,4215.897333,4216.410153,4347.692201,4217.435794,4216.922974,4215.384512,4214.871692,4199.999897,4241.025537
107,0,4210.256307,4219.999897,4199.999897,4225.640922,4217.948615,4218.974256,4221.538358,4350.256304,4220.512717,4219.999897,4215.384512,4216.922974,4202.564,4244.10246
108,0,4207.692205,4212.82041,4195.384513,4221.025538,4213.846051,4214.358871,4216.922974,4343.076817,4217.948615,4214.871692,4221.538358,4216.922974,4203.07682,4248.205024
109,0,4205.640923,4206.153743,4194.871692,4216.410153,4197.948615,4208.717846,4214.871692,4338.974253,4213.33323,4208.717846,4223.07682,4214.358871,4202.564,4247.179383
