tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stabf
2.959060025,3.0798852039999995,8.381025392,9.780754432,3.763084772,-0.782603631,-1.25739483,-1.7230863109999999,0.650456461,0.859578106,0.8874449209999999,0.958033988,unstable
9.304097235,4.902524112,3.047540728,1.369357355,5.067812104,-1.9400584269999999,-1.872741686,-1.255011992,0.41344056799999995,0.862414076,0.5621390510000001,0.781759911,stable
8.971706909,8.848428421,3.046478749,1.214518138,3.40515818,-1.207455592,-1.2772101470000001,-0.9204924409999999,0.163041039,0.766688657,0.839444015,0.109853245,unstable
0.7164147759999999,7.669599644,4.486640831,2.340562984,3.963791063,-1.0274733040000001,-1.9389441530000002,-0.9973736059999999,0.44620890700000004,0.9767440829999999,0.929380523,0.362717774,unstable
3.134111552,7.608771616,4.943759302,9.85757327,3.525810817,-1.125530955,-1.845974854,-0.5543050079999999,0.797109526,0.455449947,0.656946658,0.820923486,unstable
6.9992087089999995,9.109246716,3.7840659089999997,4.267787603,4.429668823,-1.8571391769999999,-0.670396827,-1.9021328180000001,0.26179285399999996,0.077929672,0.542883859,0.469931041,stable
6.710166367999999,3.765204184,6.929314439,8.818561922999999,2.397419229,-0.614589562,-1.208825891,-0.574003776,0.177889561,0.39797658,0.40204595200000004,0.376630279,unstable
6.953511558,1.3791250019999999,5.71940003,7.870307426,3.2244951580000003,-0.748997751,-1.1865169279999999,-1.288980478,0.37138485299999996,0.633203555,0.7327408940000001,0.380544479,unstable
4.689851927,4.007747462,1.4785728759999999,3.733787492,4.041299614,-1.4103443119999999,-1.238204276,-1.392751026,0.269708271,0.250364217,0.164941119,0.48243941100000004,stable
9.841496487999999,1.413821592,9.769855548999999,7.6416162629999995,4.727595042,-1.991363368,-0.857637207,-1.8785944669999999,0.376355981,0.544415316,0.792039425,0.11626282199999999,unstable
5.930110117999999,6.730873374,6.2451379010000005,0.533287513,2.327091593,-0.702501235,-1.11691963,-0.507670728,0.239815633,0.5631095939999999,0.164461028,0.753701356,stable
5.381299257,8.014521017,8.095174157,6.769247699,5.507551005,-1.972713854,-1.84933258,-1.6855045709999998,0.359974025,0.173568817,0.349143851,0.628860424,unstable
1.6167868369999998,2.939228107,0.8197911859999999,4.191803848999999,3.7522819139999997,-1.484884545,-1.280581451,-0.986815918,0.8996982490000001,0.8665457959999999,0.303920578,0.077610126,stable
8.55159821,8.314952222999999,2.54996383,9.926807281,4.891713735,-1.808626267,-1.167061235,-1.916026234,0.612403529,0.280982858,0.35434248799999996,0.47219207799999996,unstable
1.132107594,2.920324023,8.951078545,7.248583478,5.033680553,-1.8460795419999998,-1.362777409,-1.824823603,0.352291991,0.524172882,0.5990038560000001,0.674389868,unstable
7.021362,4.374293638999999,4.775904158,8.838425948,3.3358574610000002,-0.9623917809999999,-1.407626953,-0.9658387270000001,0.711099508,0.625363824,0.46833497,0.895143061,unstable
4.952240905,8.088672352,8.883318656,5.69455722,5.067295776,-1.681414195,-1.8770612880000002,-1.508820294,0.305662027,0.307903842,0.889893893,0.8794279079999999,unstable
4.142830401,2.439089208,1.29045594,9.456443189,3.9347959180000003,-1.469298698,-1.766941259,-0.698555961,0.8007567459999999,0.8408071290000001,0.9178334359999999,0.7939818120000001,stable
9.346125944,7.9200298479999995,2.335276308,3.269181328,4.581173917,-1.10675268,-1.747077639,-1.727343598,0.836076238,0.713253578,0.16151785400000002,0.515983285,unstable
