Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10
0.263995357,0.764928588,0.13842355,0.935242061,0.605866573,0.518789697,0.912225161,0.6082344510000001,0.723781923,0.73359095
0.546092303,0.65397459,0.065575135,0.22777191300000002,0.845269445,0.8370658790000001,0.272378939,0.331678698,0.429296975,0.367422001
0.33671410399999996,0.5388424510000001,0.192801069,0.5535628220000001,0.07451451099999999,0.332993162,0.365792205,0.861309323,0.899016587,0.08860015199999999
0.092107835,0.995016662,0.014465045,0.17637064600000002,0.241530075,0.514723634,0.562208164,0.158963258,0.073715215,0.20846322399999997
0.325261175,0.805967636,0.957033424,0.331664957,0.30792336600000003,0.35531477200000006,0.50189852,0.5584494520000001,0.885169295,0.18275440899999998
0.212464853,0.7803047609999999,0.45844365600000003,0.634508561,0.373030452,0.465650668,0.413997158,0.013080053999999999,0.570250227,0.7366723629999999
0.258565714,0.437317789,0.559647989,0.109202597,0.9945533059999999,0.896994183,0.488468506,0.251942977,0.017265143,0.538513303
0.869236755,0.277978893,0.42307639,0.11247202,0.183727053,0.034959735,0.11111396800000001,0.24932964600000002,0.5506833760000001,0.049843054000000005
0.197077957,0.843918225,0.24339588,0.281278233,0.329148141,0.73458152,0.191947043,0.927804425,0.71326865,0.891548497
0.292984504,0.70343162,0.43962138,0.10786796800000001,0.922947409,0.25345779,0.29565178,0.355286799,0.980911322,0.308864217
0.82178316,0.087778177,0.439292126,0.521600403,0.43760612600000004,0.172573815,0.11711654199999999,0.5942122710000001,0.456008312,0.441426572
0.796622959,0.230542754,0.993018018,0.077074836,0.094068272,0.718627991,0.97761127,0.333385825,0.634842896,0.028728774
0.045577010999999994,0.335214629,0.657811898,0.723782888,0.35230415299999995,0.06913662200000001,0.35538615,0.448041533,0.42671599600000004,0.894023006
0.613660351,0.709060879,0.72676735,0.862584261,0.593115939,0.47413773299999995,0.9416334359999999,0.7884376479999999,0.32329341,0.93107397
0.9507445659999999,0.00515369,0.08418668800000001,0.47814825899999996,0.21283569800000002,0.714347429,0.664819245,0.803558106,0.465466125,0.30569249
0.33634633700000005,0.25226497600000003,0.212286846,0.020201061,0.20351433,0.534467876,0.47626294799999996,0.84566925,0.155376795,0.442781372
0.034440667,0.193546388,0.758741628,0.921457207,0.46148203600000004,0.052933005,0.411735395,0.301823031,0.387137636,0.571518045
0.741544275,0.398253456,0.766471896,0.6356699889999999,0.261735405,0.837370662,0.001797073,0.568840871,0.037359861,0.29276917199999997
0.18443265,0.17411164399999998,0.301975524,0.8958932740000001,0.285613534,0.61599279,0.19707334899999998,0.738881177,0.8313708740000001,0.265761447
0.664514943,0.703410161,0.330706179,0.233882087,0.160895713,0.373187185,0.758884852,0.12711803,0.312418686,0.162027865
0.16282485800000002,0.67406904,0.7054468429999999,0.774799377,0.894266951,0.44305732,0.39977851200000003,0.009136146999999999,0.941850663,0.9827107740000001
